,channelGrouping,date,fullVisitorId,sessionId,socialEngagementType,visitId,visitNumber,visitStartTime,device.browser,device.browserSize,device.browserVersion,device.deviceCategory,device.flashVersion,device.isMobile,device.language,device.mobileDeviceBranding,device.mobileDeviceInfo,device.mobileDeviceMarketingName,device.mobileDeviceModel,device.mobileInputSelector,device.operatingSystem,device.operatingSystemVersion,device.screenColors,device.screenResolution,geoNetwork.city,geoNetwork.cityId,geoNetwork.continent,geoNetwork.country,geoNetwork.latitude,geoNetwork.longitude,geoNetwork.metro,geoNetwork.networkDomain,geoNetwork.networkLocation,geoNetwork.region,geoNetwork.subContinent,totals.bounces,totals.hits,totals.newVisits,totals.pageviews,totals.transactionRevenue,totals.visits,trafficSource.adContent,trafficSource.adwordsClickInfo.adNetworkType,trafficSource.adwordsClickInfo.criteriaParameters,trafficSource.adwordsClickInfo.gclId,trafficSource.adwordsClickInfo.isVideoAd,trafficSource.adwordsClickInfo.page,trafficSource.adwordsClickInfo.slot,trafficSource.campaign,trafficSource.campaignCode,trafficSource.isTrueDirect,trafficSource.keyword,trafficSource.medium,trafficSource.referralPath,trafficSource.source
178485,Direct,20161109,9858678631293882543,9858678631293882543_1478720900,Not Socially Engaged,1478720900,1,1478720900,Chrome,not available in demo dataset,not available in demo dataset,desktop,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,not available in demo dataset,not available in demo dataset,San Bruno,not available in demo dataset,Americas,United States,not available in demo dataset,not available in demo dataset,San Francisco-Oakland-San Jose CA,(not set),not available in demo dataset,California,Northern America,,21,1,21,582270000.0,1,,,not available in demo dataset,,,,,(not set),,True,,(none),,(direct)
178571,Organic Search,20161109,2446685875964479851,2446685875964479851_1478745724,Not Socially Engaged,1478745724,5,1478745724,Safari,not available in demo dataset,not available in demo dataset,desktop,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,not available in demo dataset,not available in demo dataset,New York,not available in demo dataset,Americas,United States,not available in demo dataset,not available in demo dataset,New York NY,rr.com,not available in demo dataset,New York,Northern America,,54,,40,592650000.0,1,,,not available in demo dataset,,,,,(not set),,True,(not provided),organic,,google
178581,Organic Search,20161109,1956307607572137989,1956307607572137989_1478708788,Not Socially Engaged,1478708788,16,1478708788,Chrome,not available in demo dataset,not available in demo dataset,desktop,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Windows,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Americas,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset,nuvox.net,not available in demo dataset,not available in demo dataset,Northern America,,93,,69,599950000.0,1,,,not available in demo dataset,,,,,(not set),,True,(not provided),organic,,google
181544,Direct,20160819,2583318836591839554,2583318836591839554_1471642806,Not Socially Engaged,1471642806,1,1471642811,Chrome,not available in demo dataset,not available in demo dataset,desktop,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Chrome OS,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Americas,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset,twtelecom.net,not available in demo dataset,not available in demo dataset,Northern America,,75,1,53,516790000.0,1,,,not available in demo dataset,,,,,(not set),,True,,(none),,(direct)
183698,Referral,20161128,788289060362109435,788289060362109435_1480376963,Not Socially Engaged,1480376963,3,1480376963,Chrome,not available in demo dataset,not available in demo dataset,desktop,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,not available in demo dataset,not available in demo dataset,Mountain View,not available in demo dataset,Americas,United States,not available in demo dataset,not available in demo dataset,San Francisco-Oakland-San Jose CA,(not set),not available in demo dataset,California,Northern America,,11,,11,527890000.0,1,,,not available in demo dataset,,,,,(not set),,,,referral,/google-merchandise-store,dealspotr.com
184087,Direct,20161128,119870259714905967,119870259714905967_1480392688,Not Socially Engaged,1480392688,3,1480392688,Chrome,not available in demo dataset,not available in demo dataset,desktop,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Chrome OS,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Americas,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset,(not set),not available in demo dataset,not available in demo dataset,Northern America,,81,,63,803080000.0,1,,,not available in demo dataset,,,,,(not set),,True,,(none),,(direct)
184098,Referral,20161128,4884778281436388667,4884778281436388667_1480363993,Not Socially Engaged,1480363993,5,1480363993,Chrome,not available in demo dataset,not available in demo dataset,desktop,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,not available in demo dataset,not available in demo dataset,Cambridge,not available in demo dataset,Americas,United States,not available in demo dataset,not available in demo dataset,Boston MA-Manchester NH,(not set),not available in demo dataset,Massachusetts,Northern America,,120,,75,550000000.0,1,,,not available in demo dataset,,,,,(not set),,True,,referral,/,mall.googleplex.com
188914,Referral,20160901,8436426603099391262,8436426603099391262_1472781277,Not Socially Engaged,1472781277,19,1472781277,Chrome,not available in demo dataset,not available in demo dataset,desktop,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,not available in demo dataset,not available in demo dataset,Ann Arbor,not available in demo dataset,Americas,United States,not available in demo dataset,not available in demo dataset,Detroit MI,comcast.net,not available in demo dataset,Michigan,Northern America,,121,,75,825000000.0,1,,,not available in demo dataset,,,,,(not set),,True,,referral,/,mall.googleplex.com
192446,Direct,20161122,9089132392240687728,9089132392240687728_1479833905,Not Socially Engaged,1479833905,7,1479833905,Safari,not available in demo dataset,not available in demo dataset,desktop,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Americas,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset,(not set),not available in demo dataset,not available in demo dataset,Northern America,,35,,24,668500000.0,1,,,not available in demo dataset,,,,,(not set),,True,,(none),,(direct)
196513,Referral,20170615,6866350473487025538,6866350473487025538_1497553575,Not Socially Engaged,1497553575,3,1497553575,Chrome,not available in demo dataset,not available in demo dataset,desktop,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Chrome OS,not available in demo dataset,not available in demo dataset,not available in demo dataset,Toronto,not available in demo dataset,Americas,Canada,not available in demo dataset,not available in demo dataset,(not set),(not set),not available in demo dataset,Ontario,Northern America,,21,,15,1196200000.0,1,,,not available in demo dataset,,,,,(not set),,True,,referral,/,mall.googleplex.com
196523,Direct,20170615,3847010446682215352,3847010446682215352_1497533098,Not Socially Engaged,1497533098,4,1497533098,Chrome,not available in demo dataset,not available in demo dataset,desktop,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Americas,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset,verizon.net,not available in demo dataset,not available in demo dataset,Northern America,,22,,20,679660000.0,1,,,not available in demo dataset,,,,,(not set),,True,,(none),,(direct)
196571,Referral,20170615,292453978388693769,292453978388693769_1497533555,Not Socially Engaged,1497533555,5,1497533555,Chrome,not available in demo dataset,not available in demo dataset,desktop,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,not available in demo dataset,not available in demo dataset,Chicago,not available in demo dataset,Americas,United States,not available in demo dataset,not available in demo dataset,Chicago IL,(not set),not available in demo dataset,Illinois,Northern America,,52,,33,589580000.0,1,,,not available in demo dataset,,,,,(not set),,True,,referral,/,mall.googleplex.com
196573,Referral,20170615,3662177742807173577,3662177742807173577_1497546765,Not Socially Engaged,1497546765,8,1497546765,Chrome,not available in demo dataset,not available in demo dataset,desktop,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,not available in demo dataset,not available in demo dataset,Mountain View,not available in demo dataset,Americas,United States,not available in demo dataset,not available in demo dataset,San Francisco-Oakland-San Jose CA,(not set),not available in demo dataset,California,Northern America,,57,,38,1288360000.0,1,,,not available in demo dataset,,,,,(not set),,True,,referral,/,mall.googleplex.com
199775,Referral,20160915,8232947695089161227,8232947695089161227_1473949034,Not Socially Engaged,1473949034,9,1473949034,Chrome,not available in demo dataset,not available in demo dataset,desktop,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Americas,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset,comcastbusiness.net,not available in demo dataset,not available in demo dataset,Northern America,,55,,36,528340000.0,1,,,not available in demo dataset,,,,,(not set),,True,,referral,/,mall.googleplex.com
199800,Organic Search,20160915,3979618861854336423,3979618861854336423_1473950759,Not Socially Engaged,1473950759,2,1473950759,Chrome,not available in demo dataset,not available in demo dataset,desktop,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Windows,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Americas,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset,(not set),not available in demo dataset,not available in demo dataset,Northern America,,292,,202,1890180000.0,1,,,not available in demo dataset,,,,,(not set),,,(not provided),organic,,google
208606,Referral,20160929,5128888224452873031,5128888224452873031_1475158333,Not Socially Engaged,1475158333,7,1475158333,Chrome,not available in demo dataset,not available in demo dataset,desktop,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,not available in demo dataset,not available in demo dataset,New York,not available in demo dataset,Americas,United States,not available in demo dataset,not available in demo dataset,New York NY,(not set),not available in demo dataset,New York,Northern America,,49,,34,728480000.0,1,,,not available in demo dataset,,,,,(not set),,True,,referral,/,mall.googleplex.com
216228,Referral,20170321,5224582846346969715,5224582846346969715_1490127819,Not Socially Engaged,1490127819,4,1490127819,Chrome,not available in demo dataset,not available in demo dataset,desktop,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,not available in demo dataset,not available in demo dataset,New York,not available in demo dataset,Americas,United States,not available in demo dataset,not available in demo dataset,New York NY,(not set),not available in demo dataset,New York,Northern America,,54,,38,552500000.0,1,,,not available in demo dataset,,,,,(not set),,True,,referral,/,mall.googleplex.com
216231,Direct,20170321,119870259714905967,119870259714905967_1490152268,Not Socially Engaged,1490152268,8,1490152268,Chrome,not available in demo dataset,not available in demo dataset,desktop,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Chrome OS,not available in demo dataset,not available in demo dataset,not available in demo dataset,Fort Collins,not available in demo dataset,Americas,United States,not available in demo dataset,not available in demo dataset,Denver CO,(not set),not available in demo dataset,Colorado,Northern America,,57,,46,794560000.0,1,,,not available in demo dataset,,,,,(not set),,True,,(none),,(direct)
216239,Direct,20170321,3329885141648806984,3329885141648806984_1490116319,Not Socially Engaged,1490116319,6,1490116319,Chrome,not available in demo dataset,not available in demo dataset,desktop,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Windows,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Americas,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset,comcast.net,not available in demo dataset,not available in demo dataset,Northern America,,87,,66,729770000.0,1,,,not available in demo dataset,,,,,(not set),,True,,(none),,(direct)
216240,Direct,20170321,0068590151265795437,0068590151265795437_1490128502,Not Socially Engaged,1490128502,3,1490128502,Chrome,not available in demo dataset,not available in demo dataset,desktop,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,not available in demo dataset,not available in demo dataset,New York,not available in demo dataset,Americas,United States,not available in demo dataset,not available in demo dataset,New York NY,(not set),not available in demo dataset,New York,Northern America,,98,,82,621750000.0,1,,,not available in demo dataset,,,,,(not set),,True,,(none),,(direct)
220356,Referral,20160906,3244885836845029978,3244885836845029978_1473179166,Not Socially Engaged,1473179166,5,1473179166,Chrome,not available in demo dataset,not available in demo dataset,desktop,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Americas,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset,(not set),not available in demo dataset,not available in demo dataset,Northern America,,11,,9,574150000.0,1,,,not available in demo dataset,,,,,(not set),,True,,referral,/,mall.googleplex.com
220629,Referral,20160906,6760732402251466726,6760732402251466726_1473192014,Not Socially Engaged,1473192014,19,1473192014,Chrome,not available in demo dataset,not available in demo dataset,desktop,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,not available in demo dataset,not available in demo dataset,Mountain View,not available in demo dataset,Americas,United States,not available in demo dataset,not available in demo dataset,San Francisco-Oakland-San Jose CA,(not set),not available in demo dataset,California,Northern America,,42,,34,682910000.0,1,,,not available in demo dataset,,,,,(not set),,True,,referral,/,mall.googleplex.com
224336,Paid Search,20170724,5614933090112217012,5614933090112217012_1500921199,Not Socially Engaged,1500921199,4,1500921199,Chrome,not available in demo dataset,not available in demo dataset,mobile,not available in demo dataset,True,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Android,not available in demo dataset,not available in demo dataset,not available in demo dataset,Houston,not available in demo dataset,Americas,United States,not available in demo dataset,not available in demo dataset,Houston TX,(not set),not available in demo dataset,Texas,Northern America,,23,,21,789080000.0,1,Google Merchandise Collection,Google Search,not available in demo dataset,CjwKCAjw4cLKBRAZEiwAl_sgQvFh360uREQ3k2PdSGZfsh8NDGxu2g_M8PkXjwE_Gwew6I4Pw54xoBoCz2sQAvD_BwE,False,1,Top,AW - Accessories,,True,+Google +Merchandise,cpc,,google
224412,Referral,20170724,599110551792149234,599110551792149234_1500906483,Not Socially Engaged,1500906483,5,1500906483,Chrome,not available in demo dataset,not available in demo dataset,desktop,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,not available in demo dataset,not available in demo dataset,Ann Arbor,not available in demo dataset,Americas,United States,not available in demo dataset,not available in demo dataset,Detroit MI,(not set),not available in demo dataset,Michigan,Northern America,,42,,31,719200000.0,1,,,not available in demo dataset,,,,,(not set),,True,,referral,/,mall.googleplex.com
225200,Direct,20161208,2430938506817988626,2430938506817988626_1481228194,Not Socially Engaged,1481228194,1,1481228194,Chrome,not available in demo dataset,not available in demo dataset,desktop,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,not available in demo dataset,not available in demo dataset,New York,not available in demo dataset,Americas,United States,not available in demo dataset,not available in demo dataset,New York NY,(not set),not available in demo dataset,New York,Northern America,,19,1,15,699000000.0,1,,,not available in demo dataset,,,,,(not set),,True,,(none),,(direct)
225203,Display,20161208,987691770768938785,987691770768938785_1481235321,Not Socially Engaged,1481235321,5,1481235321,Chrome,not available in demo dataset,not available in demo dataset,desktop,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,not available in demo dataset,not available in demo dataset,San Francisco,not available in demo dataset,Americas,United States,not available in demo dataset,not available in demo dataset,San Francisco-Oakland-San Jose CA,(not set),not available in demo dataset,California,Northern America,,20,,17,809100000.0,1,,,not available in demo dataset,,,,,(not set),,True,,cpm,,dfa
225292,Referral,20161208,4997974283801871350,4997974283801871350_1481249095,Not Socially Engaged,1481249095,1,1481249095,Chrome,not available in demo dataset,not available in demo dataset,desktop,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Windows,not available in demo dataset,not available in demo dataset,not available in demo dataset,Mountain View,not available in demo dataset,Americas,United States,not available in demo dataset,not available in demo dataset,San Francisco-Oakland-San Jose CA,(not set),not available in demo dataset,California,Northern America,,169,1,116,981300000.0,1,,,not available in demo dataset,,,,,(not set),,,,referral,/,mall.googleplex.com
229429,Referral,20170118,1740516675967625074,1740516675967625074_1484791498,Not Socially Engaged,1484791498,2,1484791498,Chrome,not available in demo dataset,not available in demo dataset,desktop,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,not available in demo dataset,not available in demo dataset,Washington,not available in demo dataset,Americas,United States,not available in demo dataset,not available in demo dataset,Washington DC (Hagerstown MD),(not set),not available in demo dataset,District of Columbia,Northern America,,17,,13,878900000.0,1,,,not available in demo dataset,,,,,(not set),,True,,referral,/,mall.googleplex.com
229439,Direct,20170118,1131086328893373855,1131086328893373855_1484776178,Not Socially Engaged,1484776178,1,1484776178,Chrome,not available in demo dataset,not available in demo dataset,desktop,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Windows,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Americas,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset,sbcglobal.net,not available in demo dataset,not available in demo dataset,Northern America,,17,1,16,1498500000.0,1,,,not available in demo dataset,,,,,(not set),,True,,(none),,(direct)
229516,Referral,20170118,2208179340101029302,2208179340101029302_1484774664,Not Socially Engaged,1484774664,3,1484774664,Chrome,not available in demo dataset,not available in demo dataset,desktop,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,not available in demo dataset,not available in demo dataset,San Bruno,not available in demo dataset,Americas,United States,not available in demo dataset,not available in demo dataset,San Francisco-Oakland-San Jose CA,(not set),not available in demo dataset,California,Northern America,,31,,27,1350700000.0,1,,,not available in demo dataset,,,,,(not set),,True,,referral,/mail/u/0/,mail.google.com
229541,Organic Search,20170118,3114573633240274987,3114573633240274987_1484795003,Not Socially Engaged,1484795003,11,1484795003,Chrome,not available in demo dataset,not available in demo dataset,desktop,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Chrome OS,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Americas,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset,comcast.net,not available in demo dataset,not available in demo dataset,Northern America,,47,,39,567030000.0,1,,,not available in demo dataset,,,,,(not set),,,(not provided),organic,,google
229543,Direct,20170118,6010250598436085923,6010250598436085923_1484752541,Not Socially Engaged,1484752541,12,1484752541,Chrome,not available in demo dataset,not available in demo dataset,desktop,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Windows,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Americas,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset,verizon.net,not available in demo dataset,not available in demo dataset,Northern America,,50,,41,570260000.0,1,,,not available in demo dataset,,,,,(not set),,True,,(none),,(direct)
230724,Direct,20161020,2517364798811740879,2517364798811740879_1477009448,Not Socially Engaged,1477009448,6,1477009448,Chrome,not available in demo dataset,not available in demo dataset,desktop,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Windows,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Americas,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset,comcast.net,not available in demo dataset,not available in demo dataset,Northern America,,10,,10,2733050000.0,1,,,not available in demo dataset,,,,,(not set),,True,,(none),,(direct)
230974,Referral,20161020,0388540104773034683,0388540104773034683_1476976852,Not Socially Engaged,1476976852,1,1476976852,Chrome,not available in demo dataset,not available in demo dataset,desktop,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,not available in demo dataset,not available in demo dataset,New York,not available in demo dataset,Americas,United States,not available in demo dataset,not available in demo dataset,New York NY,(not set),not available in demo dataset,New York,Northern America,,30,1,24,1250850000.0,1,,,not available in demo dataset,,,,,(not set),,,,referral,/,mall.googleplex.com
230994,Direct,20161020,2402527199731150932,2402527199731150932_1476985564,Not Socially Engaged,1476985564,5,1476985564,Chrome,not available in demo dataset,not available in demo dataset,desktop,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Chrome OS,not available in demo dataset,not available in demo dataset,not available in demo dataset,Chicago,not available in demo dataset,Americas,United States,not available in demo dataset,not available in demo dataset,Chicago IL,(not set),not available in demo dataset,Illinois,Northern America,,37,,26,956000000.0,1,,,not available in demo dataset,,,,,(not set),,True,,(none),,(direct)
236758,Direct,20170129,9089132392240687728,9089132392240687728_1485737724,Not Socially Engaged,1485737724,16,1485737724,Safari,not available in demo dataset,not available in demo dataset,desktop,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Americas,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset,comcast.net,not available in demo dataset,not available in demo dataset,Northern America,,35,,25,1157800000.0,1,,,not available in demo dataset,,,,,(not set),,True,,(none),,(direct)
239334,Direct,20170522,7311242886083854158,7311242886083854158_1495480898,Not Socially Engaged,1495480898,22,1495480898,Chrome,not available in demo dataset,not available in demo dataset,desktop,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Chrome OS,not available in demo dataset,not available in demo dataset,not available in demo dataset,Chicago,not available in demo dataset,Americas,United States,not available in demo dataset,not available in demo dataset,Chicago IL,comcast.net,not available in demo dataset,Illinois,Northern America,,30,,21,503230000.0,1,,,not available in demo dataset,,,,,(not set),,True,,(none),,(direct)
241505,Direct,20170503,4950411203281265700,4950411203281265700_1493840797,Not Socially Engaged,1493840797,7,1493840797,Chrome,not available in demo dataset,not available in demo dataset,mobile,not available in demo dataset,True,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Android,not available in demo dataset,not available in demo dataset,not available in demo dataset,Seattle,not available in demo dataset,Americas,United States,not available in demo dataset,not available in demo dataset,Seattle-Tacoma WA,(not set),not available in demo dataset,Washington,Northern America,,27,,21,930050000.0,1,,,not available in demo dataset,,,,,(not set),,True,,(none),,(direct)
249581,Paid Search,20170105,5253470416041507964,5253470416041507964_1483624657,Not Socially Engaged,1483624657,1,1483624657,Chrome,not available in demo dataset,not available in demo dataset,desktop,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Windows,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Americas,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset,abbott.com,not available in demo dataset,not available in demo dataset,Northern America,,21,1,17,539800000.0,1,,Google Search,not available in demo dataset,COuBh8SUq9ECFVK5wAodS-gOoA,False,1,Top,AW - Dynamic Search Ads Whole Site,,,6qEhsCssdK0z36ri,cpc,,google
249654,Direct,20170105,9338374006954760146,9338374006954760146_1483637514,Not Socially Engaged,1483637514,4,1483637514,Chrome,not available in demo dataset,not available in demo dataset,desktop,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Chrome OS,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Americas,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset,(not set),not available in demo dataset,not available in demo dataset,Northern America,,39,,30,1942000000.0,1,,,not available in demo dataset,,,,,(not set),,True,,(none),,(direct)
249668,Direct,20170105,4984366501121503466,4984366501121503466_1483653271,Not Socially Engaged,1483653271,14,1483653271,Chrome,not available in demo dataset,not available in demo dataset,desktop,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Chrome OS,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Americas,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset,comcast.net,not available in demo dataset,not available in demo dataset,Northern America,,48,,39,1633420000.0,1,,,not available in demo dataset,,,,,(not set),,True,,(none),,(direct)
249669,Referral,20170105,8637126764947849416,8637126764947849416_1483642129,Not Socially Engaged,1483642129,1,1483642129,Chrome,not available in demo dataset,not available in demo dataset,desktop,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,not available in demo dataset,not available in demo dataset,San Francisco,not available in demo dataset,Americas,United States,not available in demo dataset,not available in demo dataset,San Francisco-Oakland-San Jose CA,(not set),not available in demo dataset,California,Northern America,,48,1,39,1019500000.0,1,,,not available in demo dataset,,,,,(not set),,,,referral,/,mall.googleplex.com
249673,Direct,20170105,7284466025557220497,7284466025557220497_1483670493,Not Socially Engaged,1483670493,10,1483670493,Chrome,not available in demo dataset,not available in demo dataset,desktop,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Chrome OS,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Americas,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset,(not set),not available in demo dataset,not available in demo dataset,Northern America,,53,,40,1421550000.0,1,,,not available in demo dataset,,,,,(not set),,True,,(none),,(direct)
